fantasy_player_name,fantasy_player_id,fantasy,fantasy_id
C.Patterson,00-0030578,C.Patterson,00-0030578
C.Patterson,00-0030578,C.Patterson,00-0030578
N.Harris,00-0036893,N.Harris,00-0036893
D.Washington,00-0038558,D.Washington,00-0038558
C.Patterson,00-0030578,C.Patterson,00-0030578
C.Patterson,00-0030578,C.Patterson,00-0030578
G.Pickens,00-0037247,G.Pickens,00-0037247
J.Taylor,00-0036223,J.Taylor,00-0036223
0,0,A.Mitchell,00-0039890
J.Downs,00-0038997,J.Downs,00-0038997
M.Pittman,00-0036252,M.Pittman,00-0036252
0,0,0,0
J.Taylor,00-0036223,J.Taylor,00-0036223
A.Pierce,00-0037664,A.Pierce,00-0037664
J.Taylor,00-0036223,J.Taylor,00-0036223
0,0,0,0
0,0,0,0
P.Freiermuth,00-0036894,P.Freiermuth,00-0036894
G.Pickens,00-0037247,G.Pickens,00-0037247
A.Shampklin,00-0037609,A.Shampklin,00-0037609
0,0,0,0
J.Fields,00-0036945,J.Fields,00-0036945
0,0,0,0
0,0,0,0
0,0,0,0
0,0,J.Fields,00-0036945
N.Harris,00-0036893,N.Harris,00-0036893
0,0,0,0
G.Pickens,00-0037247,G.Pickens,00-0037247
0,0,0,0
N.Harris,00-0036893,N.Harris,00-0036893
D.Washington,00-0038558,D.Washington,00-0038558
P.Freiermuth,00-0036894,P.Freiermuth,00-0036894
0,0,0,0
J.Taylor,00-0036223,J.Taylor,00-0036223
J.Taylor,00-0036223,J.Taylor,00-0036223
J.Flacco,00-0026158,J.Flacco,00-0026158
0,0,0,0
N.Harris,00-0036893,N.Harris,00-0036893
N.Harris,00-0036893,N.Harris,00-0036893
0,0,0,0
0,0,0,0
A.Pierce,00-0037664,A.Pierce,00-0037664
J.Taylor,00-0036223,J.Taylor,00-0036223
0,0,0,0
N.Harris,00-0036893,N.Harris,00-0036893
G.Pickens,00-0037247,G.Pickens,00-0037247
N.Harris,00-0036893,N.Harris,00-0036893
0,0,0,0
J.Fields,00-0036945,J.Fields,00-0036945
G.Pickens,00-0037247,G.Pickens,00-0037247
J.Fields,00-0036945,J.Fields,00-0036945
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
M.Pittman,00-0036252,M.Pittman,00-0036252
T.Sermon,00-0036984,T.Sermon,00-0036984
0,0,A.Mitchell,00-0039890
J.Taylor,00-0036223,J.Taylor,00-0036223
J.Taylor,00-0036223,J.Taylor,00-0036223
J.Downs,00-0038997,J.Downs,00-0038997
0,0,0,0
A.Mitchell,00-0039890,A.Mitchell,00-0039890
M.Pittman,00-0036252,M.Pittman,00-0036252
A.Ogletree,00-0037292,A.Ogletree,00-0037292
0,0,0,0
0,0,0,0
P.Freiermuth,00-0036894,P.Freiermuth,00-0036894
J.Fields,00-0036945,J.Fields,00-0036945
N.Harris,00-0036893,N.Harris,00-0036893
0,0,0,0
G.Pickens,00-0037247,G.Pickens,00-0037247
N.Harris,00-0036893,N.Harris,00-0036893
G.Pickens,00-0037247,G.Pickens,00-0037247
J.Fields,00-0036945,J.Fields,00-0036945
0,0,0,0
0,0,0,0
J.Taylor,00-0036223,J.Taylor,00-0036223
J.Downs,00-0038997,J.Downs,00-0038997
J.Taylor,00-0036223,J.Taylor,00-0036223
J.Taylor,00-0036223,J.Taylor,00-0036223
J.Taylor,00-0036223,J.Taylor,00-0036223
J.Downs,00-0038997,J.Downs,00-0038997
T.Sermon,00-0036984,T.Sermon,00-0036984
T.Sermon,00-0036984,T.Sermon,00-0036984
T.Sermon,00-0036984,T.Sermon,00-0036984
0,0,0,0
0,0,0,0
N.Harris,00-0036893,N.Harris,00-0036893
J.Fields,00-0036945,J.Fields,00-0036945
G.Pickens,00-0037247,G.Pickens,00-0037247
V.Jefferson,00-0036415,V.Jefferson,00-0036415
N.Harris,00-0036893,N.Harris,00-0036893
G.Pickens,00-0037247,G.Pickens,00-0037247
P.Freiermuth,00-0036894,P.Freiermuth,00-0036894
0,0,0,0
0,0,0,0
T.Sermon,00-0036984,T.Sermon,00-0036984
0,0,0,0
A.Mitchell,00-0039890,A.Mitchell,00-0039890
0,0,0,0
J.Fields,00-0036945,J.Fields,00-0036945
V.Jefferson,00-0036415,V.Jefferson,00-0036415
