play_id,game_id,season_type,week,game_date,season,order_sequence,nfl_api_id,id
2433.0,2024_01_HOU_IND,REG,1,2024-09-08,2024,2433.0,7d402acc-1312-11ef-afd1-646009f18b2e,0
2461.0,2024_01_HOU_IND,REG,1,2024-09-08,2024,2461.0,7d402acc-1312-11ef-afd1-646009f18b2e,00-0036223
2484.0,2024_01_HOU_IND,REG,1,2024-09-08,2024,2484.0,7d402acc-1312-11ef-afd1-646009f18b2e,00-0036223
2497.0,2024_01_HOU_IND,REG,1,2024-09-08,2024,2497.0,7d402acc-1312-11ef-afd1-646009f18b2e,0
2521.0,2024_01_HOU_IND,REG,1,2024-09-08,2024,2521.0,7d402acc-1312-11ef-afd1-646009f18b2e,00-0039163
2544.0,2024_01_HOU_IND,REG,1,2024-09-08,2024,2544.0,7d402acc-1312-11ef-afd1-646009f18b2e,00-0033897
2566.0,2024_01_HOU_IND,REG,1,2024-09-08,2024,2566.0,7d402acc-1312-11ef-afd1-646009f18b2e,00-0033897
2588.0,2024_01_HOU_IND,REG,1,2024-09-08,2024,2588.0,7d402acc-1312-11ef-afd1-646009f18b2e,00-0039163
2613.0,2024_01_HOU_IND,REG,1,2024-09-08,2024,2613.0,7d402acc-1312-11ef-afd1-646009f18b2e,00-0038977
2646.0,2024_01_HOU_IND,REG,1,2024-09-08,2024,2646.0,7d402acc-1312-11ef-afd1-646009f18b2e,00-0033897
2668.0,2024_01_HOU_IND,REG,1,2024-09-08,2024,2668.0,7d402acc-1312-11ef-afd1-646009f18b2e,00-0039163
2693.0,2024_01_HOU_IND,REG,1,2024-09-08,2024,2693.0,7d402acc-1312-11ef-afd1-646009f18b2e,00-0039163
2718.0,2024_01_HOU_IND,REG,1,2024-09-08,2024,2718.0,7d402acc-1312-11ef-afd1-646009f18b2e,00-0033897
2740.0,2024_01_HOU_IND,REG,1,2024-09-08,2024,2740.0,7d402acc-1312-11ef-afd1-646009f18b2e,00-0033897
2773.0,2024_01_HOU_IND,REG,1,2024-09-08,2024,2773.0,7d402acc-1312-11ef-afd1-646009f18b2e,0
2793.0,2024_01_HOU_IND,REG,1,2024-09-08,2024,2793.0,7d402acc-1312-11ef-afd1-646009f18b2e,00-0039163
2823.0,2024_01_HOU_IND,REG,1,2024-09-08,2024,2823.0,7d402acc-1312-11ef-afd1-646009f18b2e,00-0033897
2845.0,2024_01_HOU_IND,REG,1,2024-09-08,2024,2845.0,7d402acc-1312-11ef-afd1-646009f18b2e,00-0039163
2883.0,2024_01_HOU_IND,REG,1,2024-09-08,2024,2883.0,7d402acc-1312-11ef-afd1-646009f18b2e,00-0033897
2906.0,2024_01_HOU_IND,REG,1,2024-09-08,2024,2906.0,7d402acc-1312-11ef-afd1-646009f18b2e,0
2921.0,2024_01_HOU_IND,REG,1,2024-09-08,2024,2921.0,7d402acc-1312-11ef-afd1-646009f18b2e,0
2945.0,2024_01_HOU_IND,REG,1,2024-09-08,2024,2945.0,7d402acc-1312-11ef-afd1-646009f18b2e,00-0039164
2979.0,2024_01_HOU_IND,REG,1,2024-09-08,2024,2979.0,7d402acc-1312-11ef-afd1-646009f18b2e,00-0039164
3002.0,2024_01_HOU_IND,REG,1,2024-09-08,2024,3002.0,7d402acc-1312-11ef-afd1-646009f18b2e,00-0039164
3027.0,2024_01_HOU_IND,REG,1,2024-09-08,2024,3027.0,7d402acc-1312-11ef-afd1-646009f18b2e,00-0036223
3049.0,2024_01_HOU_IND,REG,1,2024-09-08,2024,3049.0,7d402acc-1312-11ef-afd1-646009f18b2e,00-0039164
3080.0,2024_01_HOU_IND,REG,1,2024-09-08,2024,3080.0,7d402acc-1312-11ef-afd1-646009f18b2e,0
3095.0,2024_01_HOU_IND,REG,1,2024-09-08,2024,3095.0,7d402acc-1312-11ef-afd1-646009f18b2e,0
3119.0,2024_01_HOU_IND,REG,1,2024-09-08,2024,3119.0,7d402acc-1312-11ef-afd1-646009f18b2e,00-0039163
3144.0,2024_01_HOU_IND,REG,1,2024-09-08,2024,3144.0,7d402acc-1312-11ef-afd1-646009f18b2e,00-0033897
3166.0,2024_01_HOU_IND,REG,1,2024-09-08,2024,3166.0,7d402acc-1312-11ef-afd1-646009f18b2e,00-0038977
3193.0,2024_01_HOU_IND,REG,1,2024-09-08,2024,3193.0,7d402acc-1312-11ef-afd1-646009f18b2e,00-0037258
3220.0,2024_01_HOU_IND,REG,1,2024-09-08,2024,3220.0,7d402acc-1312-11ef-afd1-646009f18b2e,00-0037258
3247.0,2024_01_HOU_IND,REG,1,2024-09-08,2024,3247.0,7d402acc-1312-11ef-afd1-646009f18b2e,00-0039163
3272.0,2024_01_HOU_IND,REG,1,2024-09-08,2024,3272.0,7d402acc-1312-11ef-afd1-646009f18b2e,00-0033897
3294.0,2024_01_HOU_IND,REG,1,2024-09-08,2024,3294.0,7d402acc-1312-11ef-afd1-646009f18b2e,00-0033897
3316.0,2024_01_HOU_IND,REG,1,2024-09-08,2024,3316.0,7d402acc-1312-11ef-afd1-646009f18b2e,00-0033897
3345.0,2024_01_HOU_IND,REG,1,2024-09-08,2024,3345.0,7d402acc-1312-11ef-afd1-646009f18b2e,00-0039163
3367.0,2024_01_HOU_IND,REG,1,2024-09-08,2024,3367.0,7d402acc-1312-11ef-afd1-646009f18b2e,00-0039163
3393.0,2024_01_HOU_IND,REG,1,2024-09-08,2024,3393.0,7d402acc-1312-11ef-afd1-646009f18b2e,0
3408.0,2024_01_HOU_IND,REG,1,2024-09-08,2024,3408.0,7d402acc-1312-11ef-afd1-646009f18b2e,0
3443.0,2024_01_HOU_IND,REG,1,2024-09-08,2024,3443.0,7d402acc-1312-11ef-afd1-646009f18b2e,00-0039164
3466.0,2024_01_HOU_IND,REG,1,2024-09-08,2024,3466.0,7d402acc-1312-11ef-afd1-646009f18b2e,00-0039164
3489.0,2024_01_HOU_IND,REG,1,2024-09-08,2024,3489.0,7d402acc-1312-11ef-afd1-646009f18b2e,0
3513.0,2024_01_HOU_IND,REG,1,2024-09-08,2024,3513.0,7d402acc-1312-11ef-afd1-646009f18b2e,00-0039164
3538.0,2024_01_HOU_IND,REG,1,2024-09-08,2024,3538.0,7d402acc-1312-11ef-afd1-646009f18b2e,00-0039164
3560.0,2024_01_HOU_IND,REG,1,2024-09-08,2024,3560.0,7d402acc-1312-11ef-afd1-646009f18b2e,00-0039164
3593.0,2024_01_HOU_IND,REG,1,2024-09-08,2024,3593.0,7d402acc-1312-11ef-afd1-646009f18b2e,00-0036223
3615.0,2024_01_HOU_IND,REG,1,2024-09-08,2024,3615.0,7d402acc-1312-11ef-afd1-646009f18b2e,00-0036223
3637.0,2024_01_HOU_IND,REG,1,2024-09-08,2024,3637.0,7d402acc-1312-11ef-afd1-646009f18b2e,00-0039164
3660.0,2024_01_HOU_IND,REG,1,2024-09-08,2024,3660.0,7d402acc-1312-11ef-afd1-646009f18b2e,0
3675.0,2024_01_HOU_IND,REG,1,2024-09-08,2024,3675.0,7d402acc-1312-11ef-afd1-646009f18b2e,0
3692.0,2024_01_HOU_IND,REG,1,2024-09-08,2024,3692.0,7d402acc-1312-11ef-afd1-646009f18b2e,00-0033897
3714.0,2024_01_HOU_IND,REG,1,2024-09-08,2024,3714.0,7d402acc-1312-11ef-afd1-646009f18b2e,00-0033897
3743.0,2024_01_HOU_IND,REG,1,2024-09-08,2024,3743.0,7d402acc-1312-11ef-afd1-646009f18b2e,0
3774.0,2024_01_HOU_IND,REG,1,2024-09-08,2024,3774.0,7d402acc-1312-11ef-afd1-646009f18b2e,00-0039163
3848.0,2024_01_HOU_IND,REG,1,2024-09-08,2024,3848.0,7d402acc-1312-11ef-afd1-646009f18b2e,00-0033897
3870.0,2024_01_HOU_IND,REG,1,2024-09-08,2024,3870.0,7d402acc-1312-11ef-afd1-646009f18b2e,00-0033897
3899.0,2024_01_HOU_IND,REG,1,2024-09-08,2024,3899.0,7d402acc-1312-11ef-afd1-646009f18b2e,00-0033897
3928.0,2024_01_HOU_IND,REG,1,2024-09-08,2024,3928.0,7d402acc-1312-11ef-afd1-646009f18b2e,00-0039163
3957.0,2024_01_HOU_IND,REG,1,2024-09-08,2024,3957.0,7d402acc-1312-11ef-afd1-646009f18b2e,00-0039163
